show_id,title,type,release_year,year_added,country
s1,Dick Johnson Is Dead,Movie,2020,2021.0,United States
s2,Blood & Water,TV Show,2021,2021.0,South Africa
s5,Kota Factory,TV Show,2021,2021.0,India
s8,Sankofa,Movie,1993,2021.0,United States
s8,Sankofa,Movie,1993,2021.0,Ghana
s8,Sankofa,Movie,1993,2021.0,Burkina Faso
s8,Sankofa,Movie,1993,2021.0,United Kingdom
s8,Sankofa,Movie,1993,2021.0,Germany
s8,Sankofa,Movie,1993,2021.0,Ethiopia
s9,The Great British Baking Show,TV Show,2021,2021.0,United Kingdom
s10,The Starling,Movie,2021,2021.0,United States
s13,Je Suis Karl,Movie,2021,2021.0,Germany
s13,Je Suis Karl,Movie,2021,2021.0,Czech Republic
s16,Dear White People,TV Show,2021,2021.0,United States
s18,Falsa identidad,TV Show,2020,2021.0,Mexico
s22,Resurrection: Ertugrul,TV Show,2018,2021.0,Turkey
s25,Jeans,Movie,1998,2021.0,India
s26,Love on the Spectrum,TV Show,2021,2021.0,Australia
s28,Grown Ups,Movie,2010,2021.0,United States
s29,Dark Skies,Movie,2013,2021.0,United States
s30,Paranoia,Movie,2013,2021.0,United States
s30,Paranoia,Movie,2013,2021.0,India
s30,Paranoia,Movie,2013,2021.0,France
s33,Sex Education,TV Show,2020,2021.0,United Kingdom
s38,Angry Birds,TV Show,2018,2021.0,Finland
s39,Birth of the Dragon,Movie,2017,2021.0,China
s39,Birth of the Dragon,Movie,2017,2021.0,Canada
s39,Birth of the Dragon,Movie,2017,2021.0,United States
s40,Chhota Bheem,TV Show,2021,2021.0,India
s41,He-Man and the Masters of the Universe,TV Show,2021,2021.0,United States
s42,Jaws,Movie,1975,2021.0,United States
s43,Jaws 2,Movie,1978,2021.0,United States
s44,Jaws 3,Movie,1983,2021.0,United States
s45,Jaws: The Revenge,Movie,1987,2021.0,United States
s47,Safe House,Movie,2012,2021.0,South Africa
s47,Safe House,Movie,2012,2021.0,United States
s47,Safe House,Movie,2012,2021.0,Japan
s49,Training Day,Movie,2001,2021.0,United States
s50,Castle and Castle,TV Show,2021,2021.0,Nigeria
s51,Dharmakshetra,TV Show,2014,2021.0,India
s52,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Movie,2002,2021.0,Japan
s53,InuYasha the Movie 3: Swords of an Honorable Ruler,Movie,2003,2021.0,Japan
s54,InuYasha the Movie 4: Fire on the Mystic Island,Movie,2004,2021.0,Japan
s55,InuYasha the Movie: Affections Touching Across Time,Movie,2001,2021.0,Japan
s56,Nailed It,TV Show,2021,2021.0,United States
